               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.037846,            0.048194,           0.0031793,             0.77458,             0.79501,             0.80399,             0.46655,            0.035986,             0.01797,           0.0027383,           0.0089065,           0.0089065,           0.0089065
                  36,            0.037799,            0.048641,           0.0032697,             0.76187,             0.81989,             0.79568,             0.45788,            0.037037,            0.018197,           0.0024829,           0.0088442,           0.0088442,           0.0088442
                  37,            0.037644,            0.047867,           0.0031863,              0.7992,             0.77174,             0.79113,             0.46025,            0.036412,              0.0181,            0.002612,           0.0087804,           0.0087804,           0.0087804
                  38,            0.037494,            0.047727,           0.0032767,              0.7906,             0.75103,             0.78963,             0.44529,            0.039049,            0.018342,           0.0026702,           0.0087151,           0.0087151,           0.0087151
                  39,            0.037356,            0.047717,           0.0031193,             0.79669,             0.77774,             0.79105,             0.45649,            0.037971,            0.017881,           0.0029554,           0.0086485,           0.0086485,           0.0086485
                  40,            0.037372,            0.047804,           0.0031218,              0.7902,             0.76866,             0.80592,             0.47095,            0.038899,            0.018158,           0.0025316,           0.0085805,           0.0085805,           0.0085805
                  41,            0.037275,             0.04741,           0.0030862,             0.78876,             0.73736,             0.78016,             0.45079,            0.038468,            0.018458,           0.0028449,           0.0085111,           0.0085111,           0.0085111
                  42,            0.037038,             0.04715,           0.0030854,             0.74882,             0.75874,             0.77449,             0.45606,            0.036931,            0.018771,           0.0026084,           0.0084404,           0.0084404,           0.0084404
                  43,            0.036982,            0.046861,           0.0029831,             0.79868,              0.7445,             0.77785,             0.46052,            0.036284,            0.018159,           0.0027635,           0.0083684,           0.0083684,           0.0083684
                  44,            0.036929,            0.047089,            0.002921,              0.7503,             0.78284,             0.79033,             0.45684,             0.03869,            0.018496,           0.0030185,           0.0082952,           0.0082952,           0.0082952
                  45,            0.036704,             0.04675,           0.0029791,             0.80004,             0.75531,             0.79824,             0.46238,            0.038671,            0.018011,           0.0029748,           0.0082207,           0.0082207,           0.0082207
                  46,            0.036735,            0.047002,            0.002887,             0.83261,             0.71106,             0.80458,             0.46157,            0.036917,            0.018265,           0.0027067,            0.008145,            0.008145,            0.008145
                  47,             0.03669,            0.046589,           0.0030095,             0.73874,             0.81343,              0.7797,              0.4508,            0.035885,            0.018372,           0.0024315,           0.0080682,           0.0080682,           0.0080682
